bournemouth.ac.uk 1 40
w32309.student.bournemouth.ac.uk 2 12
w32322.student.bournemouth.ac.uk 3 8
gmail.com 4 6
w32317.student.bournemouth.ac.uk 5 3
w32323.student.bournemouth.ac.uk 6 2
w10142.student.bournemouth.ac.uk 7 2
w10138.student.bournemouth.ac.uk 8 2
w32305.student.bournemouth.ac.uk 9 1
w10136.student.bournemouth.ac.uk 10 1
