1444235499 1470 0
1444303550 1506 0
1444303652 1506 0
1444303667 1636 0
1444649940 5117 0
1445124496 5363 0
1445135701 5550 0
1445137084 5584 0
1445195956 5749 0
1445214475 5828 0
1445220649 5894 0
1445245674 6311 0
1445251098 6311 1444
1452048759 6510 1444
1452143891 36342 1444
1452481074 37528 1444
1452896651 45961 1444
1452905483 48274 1444
1452961790 48975 1444
1453822316 49319 1444
1453869163 49958 1444
1453874186 49994 1444
1453897655 49994 33582
1453903540 49994 33654
1453904615 49994 37751
1453927962 49994 37751
1453928020 49994 37751
1453954389 54563 37751
1454002799 54563 42466
1454002951 54563 42470
1454044525 54784 42470
1454048004 54934 42470
1454064826 55054 42470
1454085567 55054 45997
1454370719 55054 52745
1454378135 61979 52745
1455760090 61979 59237
1455880077 68656 59237
1456107555 68671 59237
1456233901 69295 59237
1456483586 69349 59237
1456869832 69349 59713
1456877789 69349 59987
1456947327 69349 60130
1457087962 69548 60130
1457510037 69548 60697
1457512417 69548 60746
1457533932 69548 63329
1458089136 74387 63329
1458142327 74570 63329
1458161277 74570 63391
1458209770 74570 63406
1458235180 74570 71738
1459456114 74570 72329
1460138109 74570 72576
1460317633 74570 72689
1460409224 74570 74943
1460696513 86161 74943
1460817989 87383 74943
1460954344 87383 83158
1460959814 87383 83473
1460963705 87383 83881
1460973845 87383 84119
1460977334 87383 85809
1462908238 87383 87064
1462960765 87383 87241
1462962335 88705 87241
1462962943 95323 87241
1462963007 95323 87241
1462963112 95324 87241
1463022333 95324 93509
1463085895 95324 95031
1463176604 95324 95110
1463195716 101976 95110
1463195737 101977 95110
1463197604 102020 95110
1463199069 102080 95110
1463201125 102099 95110
