1444235499 1 0
1444303550 2 0
1444303652 3 0
1444303667 4 0
1444649940 5 0
1445124496 6 0
1445135701 7 0
1445137084 8 0
1445195956 9 0
1445214475 10 0
1445220649 11 0
1445245674 12 0
1445251098 12 1
1452048759 13 1
1452143891 14 1
1452481074 15 1
1452896651 16 1
1452905483 17 1
1452961790 18 1
1453822316 19 1
1453869163 20 1
1453874186 21 1
1453897655 21 2
1453903540 21 3
1453904615 21 4
1453927962 22 4
1453928020 23 4
1453954389 24 4
1454002799 24 5
1454002951 24 6
1454044525 25 6
1454048004 26 6
1454064826 27 6
1454085567 27 7
1454370719 27 8
1454378135 28 8
1455760090 28 9
1455880077 29 9
1456107555 30 9
1456233901 31 9
1456483586 32 9
1456869832 32 10
1456877789 32 11
1456947327 32 12
1457087962 33 12
1457510037 33 13
1457512417 33 14
1457533932 33 15
1458089136 34 15
1458142327 35 15
1458161277 35 16
1458209770 35 17
1458235180 35 18
1459456114 35 19
1460138109 35 20
1460317633 35 21
1460409224 35 22
1460696513 36 22
1460817989 37 22
1460954344 37 23
1460959814 37 24
1460963705 37 25
1460973845 37 26
1460977334 37 27
1462908238 37 28
1462960765 37 29
1462962335 38 29
1462962943 39 29
1462963007 40 29
1462963112 41 29
1463022333 41 30
1463085895 41 31
1463176604 41 32
1463195716 42 32
1463195737 43 32
1463197604 44 32
1463199069 45 32
1463201125 46 32
